Smileys & Emotion
face-smiling			
413	U+1F9CE U+200D U+2642 U+FE0F	🧎‍♂️	man kneeling
414	U+1F9CE U+200D U+2640 U+FE0F	🧎‍♀️	woman kneeling
415	U+1F9D1 U+200D U+1F9AF	🧑‍🦯	person with white cane
416	U+1F468 U+200D U+1F9AF	👨‍🦯	man with white cane
417	U+1F469 U+200D U+1F9AF	👩‍🦯	woman with white cane
418	U+1F9D1 U+200D U+1F9BC	🧑‍🦼	person in motorized wheelchair
419	U+1F468 U+200D U+1F9BC	👨‍🦼	man in motorized wheelchair
420	U+1F469 U+200D U+1F9BC	👩‍🦼	woman in motorized wheelchair
421	U+1F9D1 U+200D U+1F9BD	🧑‍🦽	person in manual wheelchair
422	U+1F468 U+200D U+1F9BD	👨‍🦽	man in manual wheelchair
423	U+1F469 U+200D U+1F9BD	👩‍🦽	woman in manual wheelchair
424	U+1F3C3	🏃	person running
425	U+1F3C3 U+200D U+2642 U+FE0F	🏃‍♂️	man running
426	U+1F3C3 U+200D U+2640 U+FE0F	🏃‍♀️	woman running
427	U+1F483	💃	woman dancing
428	U+1F57A	🕺	man dancing
429	U+1F574	🕴	person in suit levitating
430	U+1F46F	👯	people with bunny ears
431	U+1F46F U+200D U+2642 U+FE0F	👯‍♂️	men with bunny ears
432	U+1F46F U+200D U+2640 U+FE0F	👯‍♀️	women with bunny ears
433	U+1F9D6	🧖	person in steamy room
434	U+1F9D6 U+200D U+2642 U+FE0F	🧖‍♂️	man in steamy room
435	U+1F9D6 U+200D U+2640 U+FE0F	🧖‍♀️	woman in steamy room
436	U+1F9D7	🧗	person climbing
437	U+1F9D7 U+200D U+2642 U+FE0F	🧗‍♂️	man climbing
438	U+1F9D7 U+200D U+2640 U+FE0F	🧗‍♀️	woman climbing
person-sport			
439	U+1F93A	🤺	person fencing
440	U+1F3C7	🏇	horse racing
441	U+26F7	⛷	skier
442	U+1F3C2	🏂	snowboarder
443	U+1F3CC	🏌	person golfing
444	U+1F3CC U+FE0F U+200D U+2642 U+FE0F	🏌️‍♂️	man golfing
445	U+1F3CC U+FE0F U+200D U+2640 U+FE0F	🏌️‍♀️	woman golfing
446	U+1F3C4	🏄	person surfing
447	U+1F3C4 U+200D U+2642 U+FE0F	🏄‍♂️	man surfing
448	U+1F3C4 U+200D U+2640 U+FE0F	🏄‍♀️	woman surfing
449	U+1F6A3	🚣	person rowing boat
450	U+1F6A3 U+200D U+2642 U+FE0F	🚣‍♂️	man rowing boat
451	U+1F6A3 U+200D U+2640 U+FE0F	🚣‍♀️	woman rowing boat
452	U+1F3CA	🏊	person swimming
453	U+1F3CA U+200D U+2642 U+FE0F	🏊‍♂️	man swimming
454	U+1F3CA U+200D U+2640 U+FE0F	🏊‍♀️	woman swimming
455	U+26F9	⛹	person bouncing ball
456	U+26F9 U+FE0F U+200D U+2642 U+FE0F	⛹️‍♂️	man bouncing ball
457	U+26F9 U+FE0F U+200D U+2640 U+FE0F	⛹️‍♀️	woman bouncing ball
458	U+1F3CB	🏋	person lifting weights
459	U+1F3CB U+FE0F U+200D U+2642 U+FE0F	🏋️‍♂️	man lifting weights
460	U+1F3CB U+FE0F U+200D U+2640 U+FE0F	🏋️‍♀️	woman lifting weights
461	U+1F6B4	🚴	person biking
462	U+1F6B4 U+200D U+2642 U+FE0F	🚴‍♂️	man biking
463	U+1F6B4 U+200D U+2640 U+FE0F	🚴‍♀️	woman biking
464	U+1F6B5	🚵	person mountain biking
465	U+1F6B5 U+200D U+2642 U+FE0F	🚵‍♂️	man mountain biking
466	U+1F6B5 U+200D U+2640 U+FE0F	🚵‍♀️	woman mountain biking
467	U+1F938	🤸	person cartwheeling
468	U+1F938 U+200D U+2642 U+FE0F	🤸‍♂️	man cartwheeling
469	U+1F938 U+200D U+2640 U+FE0F	🤸‍♀️	woman cartwheeling
470	U+1F93C	🤼	people wrestling
471	U+1F93C U+200D U+2642 U+FE0F	🤼‍♂️	men wrestling
472	U+1F93C U+200D U+2640 U+FE0F	🤼‍♀️	women wrestling
473	U+1F93D	🤽	person playing water polo
474	U+1F93D U+200D U+2642 U+FE0F	🤽‍♂️	man playing water polo
475	U+1F93D U+200D U+2640 U+FE0F	🤽‍♀️	woman playing water polo
476	U+1F93E	🤾	person playing handball
477	U+1F93E U+200D U+2642 U+FE0F	🤾‍♂️	man playing handball
478	U+1F93E U+200D U+2640 U+FE0F	🤾‍♀️	woman playing handball
479	U+1F939	🤹	person juggling
480	U+1F939 U+200D U+2642 U+FE0F	🤹‍♂️	man juggling
481	U+1F939 U+200D U+2640 U+FE0F	🤹‍♀️	woman juggling
person-resting			
482	U+1F9D8	🧘	person in lotus position
483	U+1F9D8 U+200D U+2642 U+FE0F	🧘‍♂️	man in lotus position
484	U+1F9D8 U+200D U+2640 U+FE0F	🧘‍♀️	woman in lotus position
485	U+1F6C0	🛀	person taking bath
486	U+1F6CC	🛌	person in bed
family			
487	U+1F9D1 U+200D U+1F91D U+200D U+1F9D1	🧑‍🤝‍🧑	people holding hands
488	U+1F46D	👭	women holding hands
489	U+1F46B	👫	woman and man holding hands
490	U+1F46C	👬	men holding hands
